,repo_id,repo_name,year,month,pull_request_count,commit_count,issue_count,review_count,message_count,total_contributions,growth_rate
127,25513.0,cogcomp-nlp,2022.0,1.0,9.0,32.0,0.0,22.0,0.0,63.0,60.0
128,25513.0,cogcomp-nlp,2022.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,-61.0
129,25513.0,cogcomp-nlp,2022.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
130,25513.0,cogcomp-nlp,2022.0,6.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0
131,25513.0,cogcomp-nlp,2022.0,7.0,2.0,1.0,0.0,2.0,0.0,5.0,2.0
132,25513.0,cogcomp-nlp,2023.0,7.0,3.0,0.0,0.0,0.0,0.0,3.0,-2.0
133,25514.0,spacy,2024.0,3.0,7.0,8.0,8.0,6.0,29.0,58.0,
134,25514.0,spacy,2024.0,4.0,27.0,38.0,14.0,21.0,45.0,145.0,87.0
135,25514.0,spacy,2024.0,5.0,7.0,4.0,16.0,0.0,44.0,71.0,-74.0
136,25514.0,spacy,2024.0,6.0,0.0,3.0,12.0,1.0,33.0,49.0,-22.0
137,25514.0,spacy,2024.0,7.0,2.0,0.0,3.0,1.0,16.0,22.0,-27.0
138,25514.0,spacy,2024.0,8.0,2.0,5.0,13.0,0.0,20.0,40.0,18.0
139,25514.0,spacy,2024.0,9.0,6.0,74.0,13.0,0.0,56.0,149.0,109.0
140,25515.0,nltk,2024.0,3.0,4.0,3.0,6.0,1.0,50.0,64.0,
141,25515.0,nltk,2024.0,4.0,1.0,1.0,2.0,0.0,21.0,25.0,-39.0
142,25515.0,nltk,2024.0,5.0,2.0,0.0,10.0,4.0,41.0,57.0,32.0
143,25515.0,nltk,2024.0,6.0,3.0,5.0,5.0,0.0,32.0,45.0,-12.0
144,25515.0,nltk,2024.0,7.0,11.0,133.0,12.0,11.0,126.0,293.0,248.0
145,25515.0,nltk,2024.0,8.0,12.0,414.0,13.0,6.0,225.0,670.0,377.0
146,25515.0,nltk,2024.0,9.0,3.0,4.0,6.0,0.0,34.0,47.0,-623.0
147,25516.0,corenlp,2024.0,3.0,0.0,29.0,4.0,0.0,27.0,60.0,
148,25516.0,corenlp,2024.0,4.0,5.0,15.0,2.0,0.0,6.0,28.0,-32.0
149,25516.0,corenlp,2024.0,5.0,1.0,23.0,4.0,0.0,9.0,37.0,9.0
150,25516.0,corenlp,2024.0,6.0,2.0,0.0,3.0,0.0,10.0,15.0,-22.0
151,25516.0,corenlp,2024.0,7.0,0.0,0.0,4.0,0.0,12.0,16.0,1.0
152,25516.0,corenlp,2024.0,8.0,0.0,0.0,5.0,0.0,12.0,17.0,1.0
153,25516.0,corenlp,2024.0,9.0,0.0,0.0,1.0,0.0,3.0,4.0,-13.0
154,25517.0,porcupine,2024.0,3.0,11.0,16.0,6.0,0.0,18.0,51.0,
155,25517.0,porcupine,2024.0,4.0,9.0,16.0,6.0,2.0,14.0,47.0,-4.0
156,25517.0,porcupine,2024.0,5.0,2.0,0.0,3.0,0.0,3.0,8.0,-39.0
157,25517.0,porcupine,2024.0,6.0,7.0,15.0,6.0,0.0,14.0,42.0,34.0
158,25517.0,porcupine,2024.0,7.0,2.0,4.0,3.0,0.0,25.0,34.0,-8.0
159,25517.0,porcupine,2024.0,8.0,6.0,280.0,2.0,3.0,18.0,309.0,275.0
160,25517.0,porcupine,2024.0,9.0,0.0,13.0,0.0,0.0,0.0,13.0,-296.0
161,25518.0,mycroft-core,2023.0,6.0,0.0,0.0,0.0,0.0,7.0,7.0,
162,25518.0,mycroft-core,2023.0,8.0,0.0,0.0,2.0,0.0,6.0,8.0,1.0
163,25518.0,mycroft-core,2023.0,9.0,1.0,0.0,2.0,0.0,8.0,11.0,3.0
164,25518.0,mycroft-core,2024.0,1.0,0.0,0.0,1.0,0.0,5.0,6.0,-5.0
165,25518.0,mycroft-core,2024.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,-5.0
166,25518.0,mycroft-core,2024.0,8.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0
167,25518.0,mycroft-core,2024.0,9.0,1.0,3.0,1.0,0.0,211.0,216.0,212.0
168,25519.0,open-assistant,2024.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,
169,25519.0,open-assistant,2024.0,3.0,1.0,0.0,1.0,0.0,3.0,5.0,4.0
170,25519.0,open-assistant,2024.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,-3.0
171,25519.0,open-assistant,2024.0,5.0,1.0,0.0,0.0,0.0,10.0,11.0,9.0
172,25519.0,open-assistant,2024.0,7.0,0.0,0.0,0.0,1.0,1.0,2.0,-9.0
173,25519.0,open-assistant,2024.0,8.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0
174,25519.0,open-assistant,2024.0,9.0,1.0,0.0,2.0,0.0,1.0,4.0,0.0
175,25520.0,jarvis,2024.0,3.0,0.0,1.0,2.0,0.0,3.0,6.0,
176,25520.0,jarvis,2024.0,4.0,4.0,10.0,1.0,0.0,6.0,21.0,15.0
177,25520.0,jarvis,2024.0,5.0,1.0,2.0,3.0,0.0,2.0,8.0,-13.0
178,25520.0,jarvis,2024.0,6.0,3.0,2.0,2.0,1.0,5.0,13.0,5.0
179,25520.0,jarvis,2024.0,7.0,2.0,4.0,3.0,0.0,5.0,14.0,1.0
180,25520.0,jarvis,2024.0,8.0,1.0,1.0,2.0,0.0,7.0,11.0,-3.0
181,25520.0,jarvis,2024.0,9.0,1.0,3.0,0.0,0.0,3.0,7.0,-4.0
182,25521.0,leon,2024.0,2.0,1.0,101.0,1.0,0.0,1.0,104.0,
183,25521.0,leon,2024.0,4.0,0.0,118.0,2.0,0.0,1.0,121.0,17.0
184,25521.0,leon,2024.0,5.0,1.0,505.0,3.0,0.0,3.0,512.0,391.0
185,25521.0,leon,2024.0,6.0,2.0,220.0,4.0,0.0,9.0,235.0,-277.0
186,25521.0,leon,2024.0,7.0,0.0,64.0,1.0,0.0,1.0,66.0,-169.0
187,25521.0,leon,2024.0,8.0,0.0,249.0,0.0,0.0,2.0,251.0,185.0
188,25521.0,leon,2024.0,9.0,0.0,45.0,0.0,0.0,5.0,50.0,-201.0
189,25522.0,ovos-core,2024.0,3.0,5.0,19.0,1.0,1.0,12.0,38.0,
190,25522.0,ovos-core,2024.0,4.0,12.0,42.0,7.0,8.0,25.0,94.0,56.0
191,25522.0,ovos-core,2024.0,5.0,34.0,272.0,5.0,5.0,39.0,355.0,261.0
192,25522.0,ovos-core,2024.0,6.0,27.0,359.0,2.0,2.0,37.0,427.0,72.0
193,25522.0,ovos-core,2024.0,7.0,11.0,58.0,0.0,3.0,28.0,100.0,-327.0
194,25522.0,ovos-core,2024.0,8.0,6.0,17.0,3.0,12.0,14.0,52.0,-48.0
195,25522.0,ovos-core,2024.0,9.0,1.0,61.0,1.0,2.0,12.0,77.0,25.0
196,25523.0,rhasspy,2024.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,
197,25523.0,rhasspy,2024.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0
198,25523.0,rhasspy,2024.0,3.0,0.0,0.0,2.0,0.0,5.0,7.0,4.0
199,25523.0,rhasspy,2024.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,-5.0
200,25523.0,rhasspy,2024.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0
201,25523.0,rhasspy,2024.0,6.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0
202,25523.0,rhasspy,2024.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0
203,25524.0,bitsandbytes,2024.0,3.0,26.0,94.0,29.0,32.0,319.0,500.0,
204,25524.0,bitsandbytes,2024.0,4.0,13.0,30.0,16.0,69.0,195.0,323.0,-177.0
205,25524.0,bitsandbytes,2024.0,5.0,16.0,28.0,24.0,10.0,146.0,224.0,-99.0
206,25524.0,bitsandbytes,2024.0,6.0,11.0,4.0,16.0,9.0,112.0,152.0,-72.0
207,25524.0,bitsandbytes,2024.0,7.0,19.0,41.0,16.0,18.0,109.0,203.0,51.0
208,25524.0,bitsandbytes,2024.0,8.0,17.0,22.0,23.0,13.0,140.0,215.0,12.0
209,25524.0,bitsandbytes,2024.0,9.0,4.0,33.0,2.0,8.0,42.0,89.0,-126.0
210,25525.0,trl,2024.0,3.0,52.0,120.0,60.0,120.0,438.0,790.0,
211,25525.0,trl,2024.0,4.0,61.0,105.0,47.0,97.0,427.0,737.0,-53.0
212,25525.0,trl,2024.0,5.0,32.0,111.0,45.0,99.0,454.0,741.0,4.0
213,25525.0,trl,2024.0,6.0,54.0,121.0,49.0,114.0,391.0,729.0,-12.0
214,25525.0,trl,2024.0,7.0,51.0,175.0,49.0,139.0,379.0,793.0,64.0
215,25525.0,trl,2024.0,8.0,66.0,216.0,47.0,125.0,572.0,1026.0,233.0
216,25525.0,trl,2024.0,9.0,75.0,503.0,52.0,0.0,368.0,998.0,-28.0
217,25527.0,gemma,2024.0,3.0,5.0,20.0,6.0,2.0,16.0,49.0,
218,25527.0,gemma,2024.0,4.0,2.0,9.0,2.0,0.0,6.0,19.0,-30.0
219,25527.0,gemma,2024.0,5.0,2.0,26.0,5.0,0.0,3.0,36.0,17.0
220,25527.0,gemma,2024.0,6.0,1.0,19.0,1.0,0.0,3.0,24.0,-12.0
221,25527.0,gemma,2024.0,7.0,1.0,29.0,2.0,0.0,24.0,56.0,32.0
222,25527.0,gemma,2024.0,8.0,1.0,4.0,3.0,1.0,9.0,18.0,-38.0
223,25527.0,gemma,2024.0,9.0,1.0,5.0,1.0,0.0,7.0,14.0,-4.0
224,25529.0,text-to-text-transfer-transformer,2023.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,
225,25529.0,text-to-text-transfer-transformer,2023.0,8.0,2.0,1.0,1.0,0.0,2.0,6.0,5.0
226,25529.0,text-to-text-transfer-transformer,2023.0,9.0,1.0,0.0,0.0,0.0,11.0,12.0,6.0
227,25529.0,text-to-text-transfer-transformer,2024.0,1.0,1.0,43.0,0.0,0.0,0.0,44.0,32.0
228,25529.0,text-to-text-transfer-transformer,2024.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-43.0
229,25529.0,text-to-text-transfer-transformer,2024.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
230,25529.0,text-to-text-transfer-transformer,2024.0,6.0,2.0,1.0,0.0,0.0,1.0,4.0,3.0
231,25530.0,deepspeed,2024.0,3.0,67.0,162.0,57.0,133.0,424.0,843.0,
232,25530.0,deepspeed,2024.0,4.0,70.0,211.0,65.0,167.0,499.0,1012.0,169.0
233,25530.0,deepspeed,2024.0,5.0,48.0,120.0,57.0,163.0,350.0,738.0,-274.0
234,25530.0,deepspeed,2024.0,6.0,52.0,94.0,55.0,116.0,355.0,672.0,-66.0
235,25530.0,deepspeed,2024.0,7.0,47.0,99.0,38.0,64.0,363.0,611.0,-61.0
236,25530.0,deepspeed,2024.0,8.0,60.0,202.0,49.0,0.0,336.0,647.0,36.0
237,25530.0,deepspeed,2024.0,9.0,53.0,52.0,47.0,0.0,306.0,458.0,-189.0
238,25532.0,llama,2024.0,3.0,12.0,11.0,21.0,6.0,107.0,157.0,
239,25532.0,llama,2024.0,4.0,4.0,3.0,27.0,2.0,77.0,113.0,-44.0
240,25532.0,llama,2024.0,5.0,2.0,3.0,9.0,1.0,46.0,61.0,-52.0
241,25532.0,llama,2024.0,6.0,0.0,0.0,7.0,1.0,35.0,43.0,-18.0
242,25532.0,llama,2024.0,7.0,3.0,4.0,17.0,2.0,50.0,76.0,33.0
243,25532.0,llama,2024.0,8.0,2.0,0.0,7.0,1.0,27.0,37.0,-39.0
244,25532.0,llama,2024.0,9.0,0.0,0.0,4.0,0.0,7.0,11.0,-26.0
245,25533.0,datasets,2024.0,3.0,31.0,138.0,32.0,42.0,279.0,522.0,
246,25533.0,datasets,2024.0,4.0,34.0,80.0,47.0,67.0,303.0,531.0,9.0
247,25533.0,datasets,2024.0,5.0,40.0,58.0,47.0,16.0,196.0,357.0,-174.0
