,repo_gits,repo_cntrb_counts
1239,ROCm/clr,2
3864,OpenGVLab/VisionLLM,2
1643,Textualize/textual,2
2579,explodinggradients/ragas,2
1228,xw285cornell/pytorch,2
2241,microsoft/playwright,2
1124,jakevdp/PythonDataScienceHandbook,2
140,scientific-python/scientific-python-hugo-theme,2
1212,mreineck/ducc,2
684,tensorflow/tfjs-examples,2
1842,karpathy/llama2.c,2
807,digantdesai/XNNPACK,2
808,triton-lang/triton-cpu,2
809,GregoryComer/XNNPACK1,2
8192,datacommonsorg/schema,2
4035,NVIDIA/TensorRT-Model-Optimizer,2
91,arduino/library-registry,2
3122,tracel-ai/burn,2
1533,NVIDIA/nccl-tests,2
3416,bitsandbytes-foundation/bitsandbytes,2
8268,protocolbuffers/protobuf,2
672,boostorg/math,2
4378,MichaelHudgins/jax,2
8619,commaai/openpilot,2
4379,google-ml-infra/jax-fork,2
2233,black-forest-labs/flux,2
8188,google/device-infra,2
8269,googleapis/googleapis,2
141,scientific-python/lazy-loader,2
170,scientific-python/yaml2ics,2
817,zdevito/single_controller,2
482,prefix-dev/rattler-build,2
1937,keras-team/tf-keras,2
480,numpy/archive,2
2453,microsoft/onnxconverter-common,2
1633,naver-ai/rope-vit,2
1685,dmlc/xgboost,2
1426,gfx-rs/wgpu,2
2517,Dobiasd/FunctionalPlus,2
345,lancedb/lance,2
1428,huggingface/candle,2
3643,EvolvingLMMs-Lab/lmms-eval,2
1683,conda-forge/conda-smithy,2
2788,facebookresearch/param,2
2666,python-poetry/poetry,2
338,timescale/pgvectorscale,2
1679,conda-forge/cuda-feedstock,2
399,aleaxit/gmpy,2
334,asg017/sqlite-vec,2
2621,guidance-ai/guidance,2
1435,google/tsl,2
1678,conda-forge/libcublas-feedstock,2
7564,NvChad/NvChad,2
8866,oneapi-src/oneDNN,2
3318,justinchuby/torch-onnx,2
3319,onnx/turnkeyml,2
2019,Unidata/netcdf4-python,2
1442,tensorflow/tfjs-models,2
234,LLNL/zfp,2
1422,smol-rs/smol,2
2439,conan-io/conan-center-index,2
3601,tringwald/pytorch,2
4598,rvodden/pysketcher,2
3581,pydantic/pydantic,2
3303,NVIDIA/cudnn-frontend,2
2770,facebook/rocksdb,2
4172,microsoft/wslg,2
385,asmeurer/numpy,2
2849,Schefflera-Arboricola/scipy,2
1401,Peiffap/networkx,2
382,asmeurer/ndindex,2
1627,tobias17/tinygrad,2
380,Quansight-Labs/ndindex,2
1403,mjschwenne/networkx,2
3591,cyyever/pytorch,2
948,usyd-fsalab/fp6_llm,2
375,deshaw/versioned-hdf5,2
1629,geohotstan/tinygrad,2
1409,fudan-generative-vision/hallo,2
1410,NVIDIA/warp,2
1412,huggingface/nanotron,2
3747,flutter/flutter,2
1414,elder-plinius/L1B3RT45,2
3811,EurekaLabsAI/micrograd,2
957,andylolu2/simpleGEMM,2
355,apple/coremltools,2
3794,infiniflow/ragflow,2
1672,rapidsai/docs,2
1992,facebookresearch/segment-anything,2
242,seberg/blog.scientific-python.org,2
1470,nimashahbazi/optiver-trading-close,2
1577,eriknw/networkx,2
1472,flammit/tinygrad,2
273,seberg/cugraph,2
271,numpy/numpy-user-dtypes,2
3333,NVIDIA/MatX,2
269,shapely/shapely,2
268,conda-forge/sleef-feedstock,2
993,huggingface/optimum-tpu,2
266,python/pythoncapi-compat,2
243,lorentzenchr/numpy,2
263,rapidsai/shared-workflows,2
994,google/jetstream-pytorch,2
261,rapidsai/cucim,2
995,ml-explore/mlx,2
259,seberg/cuml,2
3637,PufferAI/PufferLib,2
1478,seemethere/download-artifact-s3,2
2005,KwaiVGI/LivePortrait,2
255,WarrenWeckesser/numpy,2
247,rapidsai/cudf,2
3763,ByungKwanLee/Meteor,2
1485,udem-dlteam/pnut,2
277,rapidsai/wholegraph,2
3628,breezedeus/Pix2Text,2
317,scier/MetalSplatter,2
4140,QwenLM/Qwen2,2
3617,LadybirdBrowser/ladybird,2
8389,bazelbuild/intellij,2
3784,Soulter/hugging-chat-api,2
2478,google-ai-edge/ai-edge-torch-g3-sync-fork,2
2479,google-ai-edge/ai-edge-torch-g3-sync-fork-1,2
303,rapidsai/cuspatial,2
2482,NVIDIA/cuda-python,2
301,rapidsai/dask-cuda,2
1660,conda-forge/docker-images,2
4674,acrolinx/sidebar-interface,2
298,rapidsai/kvikio,2
297,rapidsai/ucxx,2
2009,microsoft/onnxruntime-extensions,2
1461,suo/lintrunner,2
2605,modelscope/data-juicer,2
3757,DaoCloud/public-image-mirror,2
288,seberg/cuvs,2
1466,chroma-core/chroma,2
1654,jimbaker/tagstr,2
8377,google/heir,2
283,seberg/raft,2
282,seberg/dask-cuda,2
281,seberg/cucim,2
1391,Schefflera-Arboricola/networkx,2
366,google-deepmind/debate,2
1626,chenyuxyz/tinygrad,2
73,prometheus-community/helm-charts,2
4204,zou-group/textgrad,2
1955,tencent-ailab/V-Express,2
443,conda-forge/setuptools-feedstock,2
8328,project-oak/oak,2
441,apache/spark,2
7496,hyprwm/Hyprland,2
1511,open-mmlab/mmcv,2
3849,ageitgey/face_recognition,2
917,kubernetes/website,2
1724,conda-forge/status,2
1962,showlab/Show-o,2
1623,ARM-software/ComputeLibrary,2
431,gomlx/gomlx,2
919,actions/actions-runner-controller,2
3281,clee2000/random-testing-public,2
922,RobertTLange/gymnax,2
425,google-research/google-research,2
1961,SakanaAI/AI-Scientist,2
421,chaosagent/tinygrad,2
420,tinygrad/tinystats,2
3557,langchain-ai/langgraph,2
449,xiaoyeli/superlu,2
451,conda-forge/numpy-feedstock,2
1514,cvat-ai/cvat,2
67,microsoft/vscode,2
2546,pytorch/extension-cpp,2
3733,mlfoundations/MINT-1T,2
2633,modularml/mojo,2
4213,py-pdf/pypdf,2
901,microsoft/pylance-release,2
3382,chromium/chromium,2
469,conda-forge/backports-feedstock,2
8953,mengsig/networkx,2
1562,huggingface/huggingface_hub,2
465,conda-forge/pywavelets-feedstock,2
2990,pytorch-labs/ao,2
2542,MacPython/statsmodels-wheels,2
8078,GokuMohandas/Made-With-ML,2
461,pypackaging-native/pkgconf-pypi,2
460,python-pillow/Pillow,2
906,getcursor/cursor,2
456,scipy/HiGHS,2
454,conda-forge/pandas-feedstock,2
419,roelofvandijk/tinygrad,2
3650,ValveSoftware/Proton,2
1051,timescale/timescaledb,2
414,conda-forge/git-feedstock,2
8811,greg-niemeyer/tinygrad,2
8939,ROCm/omniperf,2
8809,Qazalin/remu,2
1046,supabase/supabase,2
1385,iejMac/video2dataset,2
1047,paradedb/paradedb,2
8336,google/fuzztest,2
3575,golang/go,2
1879,princeton-nlp/SWE-agent,2
6262,darknessus/booosted,1
6282,Vildis/fingrid-history,1
6227,hubbylei/bestcf,1
6245,MIYU5200/Gg,1
6228,sabrinamochi/github-actions,1
6281,31xdanielsse/auto-green,1
5998,curseforge-mirror/notepad,1
6246,2dzvb0q0003/Auto-Green,1
6270,fearocanity/fearocanity,1
6247,HollamBaer/ziii,1
6271,19xcervantes/auto-green,1
6292,GoodbyeKittyy/Green-World-3,1
5995,SlenkyDev/SlenkyDev,1
6229,yyqyu/m3u,1
6006,raditotev/raditotev,1
6230,husnapupita/WedusKripto11,1
6316,rastrau/sharedmob,1
6301,Nexact/watchtower,1
6231,jennydaman/status,1
6315,LayllaRodrigues/LayllaRodrigues,1
6232,tw9350067/tw_main,1
6261,22xxxmchavez/auto-green,1
6314,LiangZhenX/PPTV,1
6242,willianventura10/willianventura10,1
6272,DiegoFroehlichLeal/DiegoFroehlichLeal,1
6313,vasia123/age-of-farm-prices,1
6248,Paulosean5/Lava-testnet,1
6001,1inch/community,1
6244,bestony/TranslateProject,1
6233,Automattic/wp-calypso,1
6264,nachoaldamav/offers-tracker,1
6300,letphilippe3/goflepr,1
6284,Kayden1412/Hijau,1
6266,robertdebock/ansible-role-umask,1
5990,airframesio/data,1
6009,mschoenlaub/Data4Good_Climate_Analysis,1
6286,it985/auto-green,1
6265,dtcxzyw/llvm-opt-benchmark,1
6287,simonafire/green,1
6268,devmirza-bot/frameworks-benchmark,1
6008,zailic/zailic,1
5997,danielmichaels/danielmichaels,1
6288,TeoZosa/cookiecutter-cruft-poetry-tox-pre-commit-ci-cd,1
6263,t7408ya93003/Auto-Green,1
6283,AgileAdaptiveTools/cvelistV5x2,1
6289,wiwiho/ideograph_advantage,1
5996,Mairuis/Mairuis,1
6299,andyshrk/TranslateProject,1
6007,ValentinH/ValentinH,1
6290,Arumi09/Arumi09,1
6225,Zenuso/Lava-testnet,1
6890,hunleyd/hunleyd,1
6291,kaustuvchatterjee/vskp2,1
6910,j-e-d/datosenre,1
6226,coolzoom/vmangos-pack,1
6269,24xxpinkham/auto-green,1
5991,jnbdz/jnbdz,1
6005,curseforge-mirror/sharedmedia_dnnsgt,1
6892,PowerfulRichard/PowerfulRichard,1
6243,javi-aranda/malaga-parking-data,1
6239,hkong2/cvelistV5,1
6267,peterHchina/iptv,1
6257,KaneH12/statuspage,1
6277,Energinet-DataHub/opengeh-wholesale,1
6297,Mekasniz/Decrypt-XWormV5.2,1
6889,r-matsuzaka/r-matsuzaka,1
6256,MarcoBispo97/MarcoBispo97,1
6251,LeeGrace4/Lava-testnet,1
6298,Symonpeetta/lava-auto-commit,1
6275,invaderslabs/CTI-MSTeams-Bot,1
6000,statamic/demo,1
6002,fgregg/consumer-energy-outages,1
5999,jimcru21/jimcru21,1
6891,Ginameo/lava-,1
6304,boobs4free/sub,1
6255,matsumoto4423/tanukicakemap,1
6254,ComplianceAsCode/content,1
6253,Nathalia-Cruz/Nathalia-Cruz,1
6303,TylerTurner-225/probable-train,1
5994,JJayet/JJayet,1
6252,arunsakthivel96/proxyBEE,1
6240,GoodbyeKittyy/Green-World-9,1
6241,nateeitself/nateeitself,1
6302,09brsv/09brsv,1
6276,thefatedefeater/Free-V2ray-Configs,1
5993,jcooler/jcooler,1
6911,litvanika/whiterose-bot,1
6250,JDALab/vidkey-js,1
6305,av111111/Freezer-Dashboard,1
6278,bcsizmadia/doit,1
6295,gioinocente/SteamMarketCandlestick,1
6260,saadat-ali-awan/Saadat123456,1
6234,daltonkw/drought_index,1
6259,arifnurrohim/readme,1
6279,ballistic1964/auto-green,1
6235,zeshantech/commitbot,1
6273,charczuk/cron-test,1
